EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,COMMUTING TO WORK,,,,,,,,,OCCUPATION,,,,,
ZCTA,ZCTA Numeric,Population 16 Years and Over,Population 16 years and over - In labor force,Population 16 years and over - In labor force - Civilian labor force,Employed Civilian Labor Force (%),Unemployed Civilian Labor Force (%),Armed Forces (%),Not in Labor Force (%),Civilian labor force,Civilian Labor Force Unemployment Rate,Females 16 years and over,Females 16 years and over - In labor force,Females 16 years and over - In labor force - Civilian labor force,Females 16 years and over - In labor force - Civilian labor force - Employed,Population 16 Years and Over With Children Under 6,Both Parents Working (% Of Adults with Children Under 6),Population 16 Years and Over With Children 6-17,Both Parents Working (% Of Adults with Children 6-17),ZCTA Numeric2,Average Travel Time To Work (Minutes),Workers 16 years and over,Drove Alone  (%),Carpooled  (%),Public Transportation  (%),Walked  (%),Other Means  (%),Worked From Home  (%),Civilian employed population 16 years and over,"Management, business, science, and arts occupations (%)",Service occupations (%),Sales and office occupations (%),"Natural resources, construction, and maintenance occupations (%)","Production, transportation, and material moving occupations (%)"
01106,1106,12672,59.8,59.8,56.5,3.3,0,40.2,7578,5.6,6825,49.3,49.3,46.5,1080,62.3,2819,67.4,1106,24.2,7088,76.4,4.7,0.3,2.4,0.8,15.5,7154,65,8.3,18,2.3,6.4
01107,1107,8976,52.9,52.9,44,8.9,0,47.1,4746,16.8,4766,53.3,53.3,42.2,1102,64.3,2654,64.8,1107,20,3917,60.1,11.7,4.9,8.7,0.9,13.9,3949,22.2,28.9,26.8,4.9,17.2
01108,1108,20273,61.9,61.9,56.4,5.5,0,38.1,12542,8.8,11193,57.2,57.1,51.9,2202,67.6,4136,70.8,1108,20.7,11306,72.3,10.4,5.7,2,1.5,8,11436,32.3,33.3,14.6,4.2,15.7
01109,1109,24786,50.9,50.9,45,5.9,0,49.1,12606,11.6,12645,50.2,50.2,46.1,1991,59.2,4742,68.6,1109,21.4,10956,73.7,9.1,3.1,4.8,2,7.4,11150,28.8,27,15.8,6.3,22.1
01118,1118,11739,66.8,66.6,61.6,5,0.2,33.2,7819,7.4,6189,61.9,61.6,57.7,1153,66.6,2359,63,1118,19.5,7208,79,11.4,0.7,1,1.7,6.2,7237,42.7,20.1,20.9,4.9,11.3
01119,1119,11136,51,51,49.2,1.7,0,49,5675,3.4,6073,47.1,47.1,45.3,1206,61.2,1628,51.3,1119,22.4,5443,80.8,6.9,0.8,3.9,1,6.6,5483,31.1,23.7,23.3,8.7,13.2
01128,1128,2514,67.3,67.3,63.6,3.7,0,32.7,1691,5.4,1205,70.1,70.1,67.2,329,99.1,424,100,1128,24.4,1580,85.6,6.8,0,0,0,7.5,1599,51,17.9,19.6,4.7,6.9
01129,1129,5169,61.7,61.5,58.1,3.4,0.2,38.3,3177,5.5,2595,58.5,58.5,55.1,298,60.4,456,72.8,1129,24,2961,87.2,6.5,0.8,1.3,0.8,3.3,3002,42,18.8,22.6,5.1,11.5
01144,1144,0,-,-,-,-,-,-,0,-,0,-,-,-,0,-,0,-,1144,-,0,-,-,-,-,-,-,0,-,-,-,-,-
01151,1151,7584,58.8,58.8,55,3.8,0,41.2,4457,6.5,4273,55.9,55.9,52.7,699,65.7,1551,68.1,1151,25.2,4125,78.1,5.6,7.2,2.1,2.3,4.8,4169,20.9,31.1,24.9,7.3,15.8
