UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
2674,64.7,13.5,5.3,6.1,6.1,0,4.3,0,0,2674,0,0.8,6.1,6.9,11.9,20.7,22.8,17.7,11,2.1,2674,1.6,3.2,35.8,50.3,7.9,1.1
7714,43.1,9.6,0.2,1.7,7.2,4.5,33.6,0,0,7714,0,0.8,5.4,13.7,19.7,30.6,19.6,7.6,2.1,0.6,7714,1.1,3.7,20,44.1,28,3.1
2118,18.4,8.5,0.7,1.3,0.8,5.7,64.6,0,0,2118,0,0,9.8,6.8,18.8,44.3,14.9,4.2,1.3,0,2118,2.4,12.5,30.3,36.1,15.5,3.2
17490,57,7.9,1.4,4.6,10.9,6,12.2,0,0,17490,0,1.1,12.6,19.9,18.5,16.3,23.4,5.8,1.2,1,17490,1.4,2,9.8,60.2,23.3,3.3
12054,59.7,13.8,7.4,5.6,3.9,5,4.3,0.3,0,12054,0,2.4,11.1,28.8,17,18.7,14.4,5.7,1.2,0.7,12054,1.8,7.3,21.6,55.3,12.2,1.8
26714,54.8,12.7,7.6,2.8,8.9,3.9,8.9,0.2,0,26714,0,0.7,11.7,19.1,16,27.2,16.3,4.6,2.4,2,26714,1.6,4.4,13.8,61.9,16.4,1.9
11982,20.4,6.8,1.3,2.2,2.8,3.4,62.9,0.2,0,11982,0,0,4.4,3.7,11.8,41.3,26,10.2,2.1,0.6,11982,11.3,17.8,26.6,35.5,8.4,0.5
7459,52.1,27.4,4.2,3.2,4.8,4.6,3.1,0.6,0,7459,0,1.2,4.7,3.4,3.8,14.8,51.9,17.9,1.7,0.7,7459,1.6,6.2,16.6,61.1,12.5,2.1
16066,54.9,23.4,3.7,2.4,2.3,2.2,10.8,0.1,0,16066,0,0.1,2.7,5.9,6.6,24.1,52.4,6.5,0.9,0.8,16066,2.5,7,16.4,56.1,15.4,2.5
14389,54.6,27.3,2.6,3,6.8,2.4,3.2,0.1,0,14389,0,0.6,4.4,6.7,7.7,27.4,45.7,4.7,1.6,1.3,14389,0.8,5.4,14,59.4,17.8,2.5
23961,58.2,14.1,1.1,2.4,8.4,5.7,9.8,0.4,0,23961,0,0.7,21.1,20.7,16.4,19.9,13,5.8,1.5,0.9,23961,1.6,2.3,14.2,68.7,12,1.1
7069,57,8.4,6.2,6.9,9.8,4.4,6.7,0.7,0,7069,0.1,2,2.4,10.4,16.1,17,11.9,20.6,9.3,10.3,7069,3.9,6.5,37.3,36.8,13.2,2.3
11301,45.2,5.4,7.4,12.8,8,6.9,14.2,0.1,0,11301,0,4.6,5.6,10.9,14.5,19.7,11.5,5.8,1.9,25.5,11301,6.8,13.6,21.9,30.9,20.1,6.6
84,17.9,0,0,50,16.7,15.5,0,0,0,84,0,0,16.7,0,50,0,15.5,0,0,17.9,84,0,82.1,0,11.9,0,6
1983,87,1.8,4.5,2.3,0,0,0,4.4,0,1983,0,4,11.5,13.1,11.4,14.9,4.7,10,2.3,28,1983,0,5.1,16.6,55.4,17.5,5.3
6237,77,3.1,5.6,4.1,1.8,3.3,0.6,4.5,0,6237,0.4,7,12.3,19.7,18.1,17.3,7.1,4.4,1.6,12.2,6237,2.7,5.3,22.8,44.7,21.4,3.1
617,94.3,0.5,3.9,0,0,0,0,1.3,0,617,0,1.5,10.7,4.7,9.6,13,7,9.2,3.2,41.2,617,1.9,2.4,24,40.7,25.4,5.5
399,78.4,6.8,3,11.8,0,0,0,0,0,399,0,0,2.8,0,3.3,9,25.1,30.1,0,29.8,399,0,0,27.8,38.3,33.8,0
1698,86.2,0.6,0,1,0,1.6,0.5,10,0,1698,0,14.1,18.9,16.1,15.7,10.8,6.9,7.1,5.5,4.9,1698,1.9,9.4,22.2,41.8,18.8,5.9
651,87.1,0.5,7.2,2.2,0.3,2.8,0,0,0,651,0,0.9,9.4,7.4,11.4,11.7,1.7,10,4.8,42.9,651,1.5,6.6,17.2,51.5,14.9,8.3
279,83.9,0,4.3,0,6.5,3.6,0,1.8,0,279,0,0,7.5,11.1,10,16.5,10.8,7.9,12.2,24,279,3.2,13.6,33.3,42.3,6.1,1.4
10348,43.1,4.2,18.7,15.9,8.1,3.4,6.6,0,0,10348,0,1.2,2.1,3.4,7.9,7.2,13.4,15.2,7.1,42.4,10348,2.4,13.3,32.8,43.5,6.2,1.7
13964,52.9,4.1,13.5,8.6,6.9,0.7,7.4,5.8,0,13964,0,0.4,3.6,7.8,10.7,11.6,13.6,19.2,7.6,25.5,13964,2.5,12.1,33.3,41,9.3,1.8
1098,8.2,56.7,0,31,3.3,0,0.8,0,0,1098,0,0,8.3,13.5,9,5.6,11.4,38.3,5.4,8.5,1098,1.9,7.1,65.4,22,3.6,0
559,80.9,0.9,4.7,7.7,2.7,0,0,3.2,0,559,0,1.3,7.2,5.4,20.2,7.5,1.1,10.4,4.8,42.2,559,0.9,24.3,25.4,31.1,15.6,2.7
8977,55.4,6.8,12.5,11.5,4.9,4.6,3.5,0.8,0,8977,0,1.6,8.7,7.9,9,14.9,10,11.9,3.9,32.1,8977,2.2,11.4,32.7,41.1,9.7,2.9
6294,87.6,1,1.6,0.9,1.7,1.9,5.3,0,0,6294,0,3.4,12.8,8,11.3,9,12.2,27.2,7.4,8.6,6294,1.9,8.2,13.2,38.5,33.8,4.4
995,97.3,0,0,0,0,0,0,2.7,0,995,0,0.8,9.2,6,9.1,14.6,17.8,13.2,11.3,18,995,1.3,3.6,39.4,41.2,10.3,4.2
5173,82.7,1.3,4.6,1.8,2.9,1.7,4.9,0,0,5173,0,2.6,3.7,5.2,10.9,29.4,15.4,19.7,3.5,9.7,5173,1.8,4.7,18.9,47.6,25.4,1.5
659,53.9,0.9,16.5,15.3,13.4,0,0,0,0,659,0,4.2,1.5,18.7,11.2,3.2,2.7,6.4,3.3,48.7,659,2,15.6,16.2,46.6,17.8,1.8
317,91.2,0,5.7,0,0.9,0.9,0,1.3,0,317,0,6.3,7.9,1.3,13.2,9.8,3.8,9.1,11,37.5,317,0,7.3,34.4,45.1,9.5,3.8
2618,84.1,3.4,5.3,2.2,3,0,2,0,0,2618,0,2.6,9.1,11.2,14.8,13.8,6,22.5,12.8,7.2,2618,0,7.4,26,52.8,12.1,1.7
1199,98.2,1.3,0.4,0,0,0,0,0,0,1199,0,3.8,8.8,10.7,19.5,21.6,5.2,6.4,2.9,21,1199,0.3,4.5,13.8,59.1,18.6,3.8
2306,74.9,2.3,8.5,6.6,2.4,1.6,3.1,0.6,0,2306,1.5,0.7,6.2,12,9.3,15.1,15.2,10.1,5.7,24.2,2306,0,6.2,19.3,48.4,21.2,4.9
2118,94.7,1.9,2.1,1,0,0,0.3,0,0,2118,0,5.1,6.7,5,9.3,12.1,27,16.3,4,14.5,2118,0,2.3,20.3,50.2,23.1,4.1
274,97.8,0,0,0,2.2,0,0,0,0,274,0,0,9.1,20.1,11.7,8.8,17.9,0,0,32.5,274,0,0,25.9,46.7,18.6,8.8
1150,72,8.8,7.2,4.7,4.8,0,2.5,0,0,1150,0,7,4.2,10.4,5.7,15.7,9.3,10.3,2.9,34.3,1150,0,12.9,23.7,37,21,5.4
721,73.5,0.6,20.1,3.1,0,0,1.9,0.8,0,721,0,1,12.1,10.5,11.8,11.1,9.2,5.4,0,39,721,0.8,10.8,27.2,36.9,17.2,7.1
16731,31.5,4.3,12.6,12,15.2,11.7,12.7,0.1,0,16731,0.1,1.3,2.3,3.6,9.1,8.5,10.7,13.7,6,44.7,16731,3.6,18.1,34.2,32.8,8.8,2.5
1235,83.9,0.6,4.3,5,2.8,0.6,0,2.8,0,1235,0,0.7,7.5,8,15.5,9.3,6,12.1,4.9,36,1235,0.3,12.9,21.8,37.1,16.5,11.4
748,51.7,19.4,9.6,5.9,3.2,3.2,7,0,0,748,0,11,5.3,1.3,35.7,15.6,7.6,5.9,0,17.5,748,1.1,13,26.1,45.9,13.1,0.9
776,87,2.8,6.2,0.4,2.3,0,0,1.3,0,776,0.4,1.3,7.2,4.6,25.1,17,8.9,8.9,2.4,24.1,776,1,4.8,13.9,50.9,21.4,8
9000,70.9,6.3,7.5,5.9,3.1,2.9,2.5,0.9,0,9000,0,4.7,4.8,9.6,17,10.2,9.4,16,10.6,17.7,9000,0.4,9.1,31.2,46.1,12.4,0.8
3726,81.9,1.9,6,4.7,1.9,0.8,0,2.7,0,3726,0,2.5,8,11.8,16.3,12,8.9,13.3,3.6,23.7,3726,1.3,10.3,16.6,49,15.8,7.1
7493,32.1,8.6,11.7,15.2,12,5.1,15.1,0.1,0,7493,0.6,5.3,2.5,4.8,8.3,11.4,5.6,6.6,4.8,50.1,7493,7.1,20.7,37.3,22.7,9.4,2.9
4474,69.9,4.6,12.6,1.8,5,5.2,1,0,0,4474,0,1.3,6.9,6.9,10.7,8.8,14.6,14.7,3.7,32.5,4474,2.4,12.3,24.7,38.9,16.4,5.2
23,0,0,0,0,100,0,0,0,0,23,0,0,0,0,0,21.7,56.5,0,0,21.7,23,0,100,0,0,0,0
64,53.1,0,46.9,0,0,0,0,0,0,64,0,0,0,12.5,0,46.9,0,40.6,0,0,64,0,0,40.6,59.4,0,0
667,96.4,0,3.6,0,0,0,0,0,0,667,0,4,13,12.4,23.5,15.7,9.6,4.6,4.9,12,667,1.2,1.9,19.3,50.7,20.1,6.7
3916,63,2.1,8.8,8.3,5.4,2.6,2.8,6.9,0,3916,0.7,2.8,5.6,6.6,16.2,17.5,12.4,10.7,7.1,20.4,3916,2.4,9.4,28.7,41.6,16.6,1.2
342,90.4,0.6,2.6,0,0,0,0,6.4,0,342,0.6,2,3.2,9.1,22.5,12.6,9.9,10.5,2.9,26.6,342,5.3,8.5,29.5,32.7,22.2,1.8
598,82.3,0.5,3.8,5.4,4.7,0,0,3.3,0,598,0,2.2,5.9,19.1,11.7,7.4,13.4,11.9,1.7,26.9,598,0,10.5,13.5,53,20.6,2.3
731,89.7,2.7,5.7,0.4,1,0,0,0.4,0,731,0,1.6,13.5,13.1,19.8,19.8,9.2,5.3,5.6,11.9,731,1.4,13.5,23,39.8,21.6,0.7
2356,85.2,3,3.2,0.6,5,0,3,0,0,2356,0,9,13.7,13.8,12.9,17.4,10.8,8.5,1.1,12.8,2356,0,5.7,21.8,45.6,21.6,5.3
250,35.6,11.6,18,34.8,0,0,0,0,0,250,0,0,0,0,0,0,0,16.4,0,83.6,250,0,0,64.8,35.2,0,0
7641,63.8,9.1,7.8,9.5,3.5,1,5.3,0,0,7641,0,3.6,5.2,13.8,9.3,6.5,10.8,24.6,8.2,18,7641,1.6,11.2,32.9,36.4,13.9,4
3938,75,6.4,7.2,2.5,2.4,3.8,2.5,0.3,0,3938,0,1.9,9.8,26.9,8.8,16.2,7.7,11.9,8.8,8,3938,0.3,11.6,20.1,42,21.6,4.4
237,26.2,29.1,17.3,11,16.5,0,0,0,0,237,0,0,4.6,0,16.9,14.8,16.5,0,4.2,43,237,0,11,23.6,58.2,2.5,4.6
938,59.7,1.4,21.9,8.3,2.8,2.2,1.2,2.6,0,938,0,0,5.8,8.4,10.2,9.7,8.6,21.1,0.9,35.3,938,0,5.7,29.1,45.6,18.6,1.1
864,85.8,0.9,1.7,1.7,0,0.3,0.7,8.8,0,864,0,5.8,20,12.5,17.4,10.9,7.5,5.4,4.9,15.6,864,0,6.6,33.1,45.5,13.4,1.4
5226,60.4,4,9.6,10.6,5.4,5,1.5,3.5,0,5226,0,2.9,10.3,5.9,16.2,11.2,11,8.4,1.9,32.2,5226,1.7,10.9,30.9,38.8,14.6,3
1010,64.9,0,9.6,5.6,0,10.8,6.8,2.3,0,1010,0,2.3,10.3,21.3,21.8,12.2,2.1,5.8,7.7,16.5,1010,6.7,14.4,18.9,46.1,10.8,3.1
86,96.5,0,3.5,0,0,0,0,0,0,86,0,0,0,10.5,4.7,10.5,11.6,12.8,3.5,46.5,86,0,11.6,41.9,29.1,17.4,0
16444,59.9,2.6,11.8,7.8,5.5,1.9,7.7,2.7,0,16444,0,2.6,6.7,7.1,11.4,14.3,12.4,12.6,5.4,27.6,16444,0.9,12.3,28.6,36.7,15.8,5.6
354,37,11.6,2.8,0,23.4,3.4,3.1,18.6,0,354,0,1.7,0,2.3,17.8,9,14.1,0,2.5,52.5,354,6.5,30.5,30.2,15.5,17.2,0
13084,50.3,3.3,9,9.6,8.4,3.4,14.2,1.6,0.1,13084,0.2,1.4,5.4,8.9,10.2,13.4,13,13.8,8.8,25,13084,7.3,16.1,27.3,33.6,13.5,2.2
621,44,0,3.2,24,11.8,17.1,0,0,0,621,0,0,6.4,11.4,0,0,0,10.1,5,67,621,0,10,39.6,24,22.2,4.2
70,95.7,0,4.3,0,0,0,0,0,0,70,0,10,2.9,0,22.9,31.4,0,14.3,0,18.6,70,0,0,34.3,18.6,14.3,32.9
31,100,0,0,0,0,0,0,0,0,31,0,0,0,0,0,9.7,22.6,51.6,0,16.1,31,0,0,0,32.3,67.7,0
5672,83.2,5.6,4.2,1.1,1.5,1.6,2.8,0,0,5672,0,4.3,6.5,4.8,10.7,11.7,16.6,28.3,5.3,11.8,5672,1.6,5.6,13.2,36.2,36.3,7.1
1190,78,2.4,11.8,7.6,0,0,0.3,0,0,1190,0,3.9,10.1,8.2,17.9,5.8,12.4,8.4,5.3,28,1190,0,10.4,28.8,39.3,19.2,2.2
26,57.7,0,0,42.3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,100,26,0,0,0,76.9,23.1,0
649,90.3,0,5.2,3.1,0.5,0,0.5,0.5,0,649,0,1.5,9.4,9.2,9.7,13.4,8.5,7.9,4.8,35.6,649,0.5,13.7,23.9,42.2,16,3.7
1640,2.1,1.5,0.9,0.4,4.1,4.1,86.8,0,0,1640,1.6,0.1,2.6,1.1,2.5,17,1,8.6,4.8,60.6,1640,6.7,49.3,42.4,0.5,0,1.1
9834,46,4,22.2,8,5.8,1.4,12.5,0.2,0,9834,0,1.6,2.3,2.6,5.4,5.9,10.7,19.4,13.7,38.5,9834,2.7,15,29.4,40.7,10.9,1.3
5728,8.4,3.2,15.9,15.8,21.3,9.3,26.1,0,0,5728,0.1,2,2.6,1.9,8.9,14.1,7.5,5.4,6,51.5,5728,16.8,28.6,21.1,24.2,5.1,4.1
6247,87.8,3.1,2,0.3,0,1.4,5,0.4,0,6247,0,0,1.5,2.5,5.4,12.7,20.1,22.5,8,27.2,6247,1.4,3.1,12.4,41.8,30.1,11.2
4708,19.6,6.1,27.3,16.8,11,0.9,18.1,0,0.1,4708,0,0.6,1.1,2.9,3.5,8.7,13.9,3.7,12.1,53.6,4708,4.1,13.7,24.3,39.4,14.2,4.3
11274,31.4,2.8,29.5,16.5,13.2,2.6,3.5,0.4,0,11274,0,0.7,2.5,3.8,5,6.4,5.4,9.8,11.4,55,11274,2.1,11.9,31.2,37.4,9,8.4
10705,44.4,4.6,24,9.2,5.5,1.8,10,0.6,0,10705,0,0.6,2.5,5,6.7,9.3,8.5,11.5,9.6,46.4,10705,2.3,10.2,28.9,39.7,11.7,7.3
5922,81.1,2,5.4,3.1,6.3,1.1,0.9,0,0,5922,0,4.1,1,2.5,8.7,11.6,9.4,30.3,17.5,15,5922,0,1.8,24.2,56.4,15,2.7
5488,72.9,2.5,4.9,1.9,5.4,1.1,4.3,7.1,0,5488,0,0.8,5.6,5.7,9.7,9.5,16.3,37,10,5.4,5488,0.9,7.5,30,46.3,14.3,1
1136,100,0,0,0,0,0,0,0,0,1136,0,7.1,1.1,1.9,10.7,26.8,6.6,41.4,4,0.4,1136,0,1.6,14.4,61.3,21.6,1.1
2604,69.6,10.5,7.3,1.9,8.9,0.1,1.7,0,0,2604,1.7,5.5,3.1,5.2,13.5,18.3,11.2,30.2,3.8,7.5,2604,0.5,6.4,26,52.4,13,1.7
0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-
3935,39.6,7.4,30.4,11.8,5.3,0.5,0.6,4.4,0,3935,0,0.2,3,5.1,13.2,8.9,9.8,11.6,8.7,39.5,3935,0.5,6.3,43.2,33.2,13.2,3.6
22576,54.2,3.6,12.6,12,6.1,4.9,5.7,1,0,22576,0,2.5,3.1,3,6.9,9.6,8.6,14.4,12.1,39.8,22576,2,15,27.1,41.3,12.3,2.3
4439,49.3,1.9,15.7,16.4,6.6,3.9,5.7,0.5,0,4439,0,2.2,1.1,2.6,2.9,5.9,5.5,10.9,7.6,61.3,4439,1,16.1,28.6,39.3,11.1,3.9
297,81.8,3.4,3,2.4,0,0,0,9.4,0,297,0,3,12.1,7.7,9.8,36.4,3.4,13.5,2,12.1,297,5.4,4,21.9,57.6,10.1,1
2183,97,1,0,0.3,0,0,0,1.7,0,2183,0,3.3,10.6,10.2,17.3,20.6,13.8,7.2,3.3,13.8,2183,1.4,10.1,25.5,40.6,17.7,4.7
109,100,0,0,0,0,0,0,0,0,109,0,0,0,12.8,11.9,10.1,0,0,0,65.1,109,0,0,22.9,64.2,0,12.8
1659,78.8,0,9.2,0.5,0,0,0,11.5,0,1659,0,2.7,4.8,5.9,11.9,18.9,9.1,8.4,1.9,36.4,1659,0.7,8.1,24.2,43.9,17.8,5.4
3057,69.6,0.6,8.7,11.3,1,2.7,2.1,4.1,0,3057,0,0.5,4.1,6.2,14.4,7,13.4,22.3,5.3,26.7,3057,0,12.7,18.3,40.8,21.7,6.4
118,70.3,5.1,13.6,11,0,0,0,0,0,118,0,0,9.3,0,10.2,13.6,0,6.8,11,49.2,118,0,17.8,10.2,54.2,17.8,0
5213,77.1,1.5,6,5,3.9,2.4,3.9,0.2,0,5213,0.1,4,8.4,9.4,14.3,12.1,4.6,4.7,7.1,35.3,5213,1.6,12.2,20.3,43.7,15.3,6.9
1464,75.3,1.6,3.6,6.4,2.8,0,0,10.2,0,1464,0.4,5.5,16.1,5.7,12,21.3,6,7,5.7,20.3,1464,1.8,9.4,32.4,39.1,14.1,3.2
879,85.1,0.6,3.9,8.8,0,0,0,1.7,0,879,0,1.8,3.9,1.5,2.7,12.9,0,13.4,9.3,54.5,879,0.9,6.6,24.5,44.8,20.8,2.4
1460,74,1,6.6,2.6,4.1,1.4,8.7,1.6,0,1460,0,0,15.5,9.5,18.3,14.5,6.5,17.8,2.3,15.7,1460,1.5,5.8,32.9,37.1,18.9,3.8
2720,75.3,2.1,7.8,3,4.3,4,2.8,0.8,0,2720,0,2.5,3,8.7,12.1,9.9,11.3,14.2,5.7,32.7,2720,1.2,9,14.2,53.8,16.5,5.3
3055,57.6,3.6,3.3,5,6.5,10.7,12.8,0.5,0,3055,0,4.6,8.3,5.5,9.9,13.3,15.4,10.6,4.8,27.7,3055,0.6,18.3,23,35.9,14.7,7.5
140,69.3,0,30.7,0,0,0,0,0,0,140,0,0,0,0,10.7,0,11.4,0,0,77.9,140,0,0,0,69.3,30.7,0
120,98.3,0,1.7,0,0,0,0,0,0,120,0,0,1.7,22.5,16.7,1.7,2.5,11.7,0,43.3,120,2.5,1.7,22.5,50,23.3,0
132,97.7,0,2.3,0,0,0,0,0,0,132,0,0,9.8,6.1,16.7,9.1,6.1,21.2,0.8,30.3,132,0,12.1,28.8,46.2,6.1,6.8
803,97.8,0.6,0.5,0,1.1,0,0,0,0,803,0,3.9,16.7,7.8,15.9,12.3,4.9,4.7,3.4,30.4,803,0,3.2,16.8,42.1,33.6,4.2
7651,50.7,1.2,13.3,16.3,7.2,1.4,6.9,3,0,7651,0,0.4,2.4,3.8,7.7,8.7,11.4,11.5,6.4,47.7,7651,2.8,13.7,28.9,38.6,12.4,3.5
687,97.4,0,0.4,0,0,0,0,2.2,0,687,0,1,13.8,9.9,31,19.9,4.1,3.1,2.6,14.6,687,1,1.6,21.4,48.5,24.2,3.3
590,93.7,2,0.7,0,0.7,0,2.9,0,0,590,0,0,8.6,6.8,11.7,20.3,18,6.8,5.1,22.7,590,0,2,22.5,41.4,28,6.1
614,95.3,0,1.1,0.5,0,0.2,0,2.9,0,614,0,4.2,6,10.3,18.1,16.1,3.9,9.8,4.9,26.7,614,1,7,28.5,46.6,12.5,4.4
404,89.9,0,0,0.7,0.7,0,0,8.7,0,404,0,1.7,5.2,13.1,26.2,13.1,8.4,9.9,4.5,17.8,404,0,11.6,22,49.8,15.8,0.7
