UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
12173,79.6,15,0.8,2,1.6,0.6,0.1,0.3,0,12173,0,1.8,11.3,23.9,20.7,19.2,12.3,7,2.1,1.7,12173,1.2,2.2,23,61.9,10.5,1.2
3979,82.4,14.8,0.3,0.3,2.1,0,0,0.1,0,3979,0,1,8.1,20.6,18.3,25.2,17.5,3.4,2.5,3.4,3979,0.2,7.5,31.7,50.3,9.7,0.7
18488,77.8,11,0.5,1.9,5.2,2.7,0.6,0.3,0,18488,0,0.4,7.4,14,15.7,32.2,23.4,5.1,0.8,1.1,18488,1.2,4.3,20.5,61.5,12.3,0.2
15875,73.3,20,1.9,1.5,1.7,0.6,0.5,0.4,0,15875,0,2.8,14.5,17.9,19.9,26.7,9,6.5,2.4,0.2,15875,1.3,2.9,26.4,56.3,9.8,3.2
9417,47.5,4.1,23.8,9,3.7,3.2,8.3,0.4,0,9417,0,2.4,15.7,11.2,17.6,31.1,17.6,3.6,0.6,0.2,9417,4.2,3.2,33.2,48.6,9.3,1.4
11363,79.5,12.2,0.6,1.2,3.6,1.5,1.2,0.2,0,11363,0,1.2,17.3,16.4,20.6,18.7,14.6,7.1,3,1.2,11363,2.7,1.8,25,57.9,9.4,3.1
25133,60.1,13.1,1.7,4.8,4.2,7,9,0,0,25133,0,1.3,6.6,8,11.6,20.8,18.6,21.6,8.5,2.9,25133,2.8,9.1,31.6,45.8,9.1,1.5
16048,54.5,11.4,2.9,5.2,5.7,12,8.3,0.1,0,16048,0,2,7.1,6.6,9.8,17.8,27.3,21.7,6,1.6,16048,3.9,8.5,23.2,47.7,14.5,2.2
14807,75.7,14.1,1.2,1.9,3.2,0.9,2.9,0.1,0,14807,0.2,1.3,9.6,14.3,18,24.3,16.2,8.6,4.3,3.3,14807,1,7.2,25,55,10.4,1.4
18668,83.5,6.9,3.4,2.7,1.7,0.6,0.9,0.3,0,18668,0,1.6,13.4,18.1,16.8,27.7,11,7.2,2.4,1.8,18668,1.3,4.2,20.5,63.4,9.9,0.7
11935,82.3,12.9,0.5,0.1,1.4,1.1,1.6,0,0,11935,0,2.6,15.6,21.9,18.8,21.2,15.4,2.3,1,1.2,11935,0.7,2.7,16,65.7,13.2,1.5
5163,94.1,5.5,0.2,0,0.2,0,0,0,0,5163,0,1.7,7.4,25.3,23.9,18.6,14.6,5,2.4,1.2,5163,0.2,2.6,25.5,63.1,8.4,0.2
2605,80.6,11,1.5,2.5,2.7,1,0.7,0,0,2605,0,4.3,30.6,10.3,21,19.2,6.8,7.9,0,0,2605,1.4,1,18.6,61.3,15.5,2.1
15174,72.4,15.3,0.9,2.1,5.4,1.5,1.7,0.7,0,15174,0,2.6,21,15.3,20.8,18.7,10.9,8.4,1.4,1,15174,1.6,3.5,17.5,56.4,17.8,3.2
25211,77.3,15.2,0.3,2.1,2.8,0.8,1,0.6,0,25211,0.1,0.5,7.7,12.2,18.6,35.7,15.2,7.2,2.2,0.6,25211,0.9,3.6,19.8,61.6,13.3,0.7
69,79.7,20.3,0,0,0,0,0,0,0,69,0,0,39.1,0,0,60.9,0,0,0,0,69,0,0,0,59.4,40.6,0
17461,81.6,11.5,0.7,1.7,3,0.9,0.6,0.1,0,17461,0,1.9,3.9,18.3,30.1,27.3,11.4,3.4,2.4,1.2,17461,0.8,1.8,12.2,77,7.6,0.7
11082,65,5.6,22.6,4.6,0.2,1.2,0.4,0.3,0,11082,0,2.5,13.5,16.6,16.6,20.6,17.6,5.6,2.8,4.2,11082,0.9,3.8,25,60.2,9.8,0.3
3593,95.6,4,0,0,0,0,0.3,0,0,3593,0,2.2,25.5,17.1,20.4,11.5,9.7,4.4,4.1,4.9,3593,0.4,2.4,16.9,67.8,11.3,1.1
9747,75.7,18.2,0.3,0.8,4.3,0,0.7,0,0,9747,0,3.3,14,20,19.8,23.1,8.8,5.4,3.5,1.9,9747,0.4,3.7,17.4,65,10.5,3
4998,89.5,6.9,0,0.9,1.4,0.7,0.6,0,0,4998,0,0.6,15.6,15.6,26.8,20.7,12.7,5.4,1.8,0.9,4998,0,1.9,15,68.2,13.8,1.1
8226,84.8,6,1.5,2.9,3,1.6,0,0.2,0,8226,0,2.6,19.4,12.7,14.2,25,15.3,8.3,2.2,0.3,8226,0.6,1.8,16.3,69.3,11,1.1
1013,88.9,5.3,0,0,1.8,0,3.9,0,0,1013,0,2.2,9.1,12.9,12.8,18.1,16,21.3,5.6,2,1013,0.6,5.8,34.6,49.2,9.9,0
13391,64.5,9.6,0.9,3.4,7.6,6.2,7.9,0,0,13391,0,0.5,5.1,13.7,10.7,32.5,24.4,8.8,3.4,1,13391,1.2,6.3,13.4,58.1,18.5,2.6
