WORLD REGION OF BIRTH,,,,,,,LANGUAGE SPOKEN HOME,,,,,,SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,
"Foreign-born population, excluding population born at sea",Europe,Asia,Africa,Oceania,Latin America,Northern America,LANGUAGE SPOKEN AT HOME - Population 5 years and over,English only,Spanish,Other Indo-European languages,Asian and Pacific Islander languages,Other languages,Total population2,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over
0,-,-,-,-,-,-,64,100,0,0,0,0,64,23,41,56.1,0,10,8,0,0,11,25,0,0,0,10,0,0,39.2,18,46,46,46,10,10
25,76,0,16,0,0,8,1002,97.8,0,1.9,0.3,0,1042,488,554,88.1,40,25,29,24,37,79,90,104,123,129,284,53,25,59.1,98,946,944,924,449,362
338,5.6,8,37,0,49.4,0,2112,46.8,42.3,4,1.3,5.5,2168,834,1334,62.5,56,68,60,62,217,435,320,221,239,159,231,98,2,38.7,184,1984,1984,1850,407,331
2124,6.1,11.1,11.5,0,70.3,1,22007,48.7,47.2,1.7,0.9,1.5,23226,9878,13348,74,1219,2052,1852,1908,1752,2933,2999,2833,1262,1393,1975,725,323,34.8,6406,17844,16820,15685,4013,3023
1043,7.4,3.5,7.7,0,81,0.5,11498,39.1,58,1.7,0,1.2,12527,6429,6098,105.4,1029,989,1262,819,1154,2191,1506,1205,402,677,827,361,105,29.6,3657,9096,8870,8188,1725,1293
2117,28.7,47,1.5,0.5,13,9.4,15260,86.6,2.4,8.4,2.1,0.5,16150,7563,8587,88.1,890,978,1400,1119,596,1346,1804,2272,1100,1033,2093,903,616,44.6,3955,12672,12195,11648,4274,3612
1193,1.5,8,0.8,0,88.9,0.8,11404,36.8,61.7,0.4,0.7,0.3,12387,6115,6272,97.5,983,1020,1158,1010,1073,1995,1414,1268,596,637,705,317,211,28.5,3866,8976,8521,7927,1641,1233
4229,6.2,33.9,16.3,0,43.4,0.2,24172,58.5,30.1,4.3,3.7,3.4,26257,12227,14030,87.1,2085,1553,1962,1755,2053,4187,3738,2936,2034,1175,1642,836,301,33.7,6843,20273,19414,18450,3425,2779
3487,3.9,11.7,8.8,0.2,75.2,0.2,29387,63,31.9,1,1.8,2.3,31242,15519,15723,98.7,1855,1872,2257,3675,4267,4168,3456,3222,1637,1393,1947,1045,448,28.9,7307,24786,23935,20380,4136,3440
1474,16.8,41.9,7.8,0,33.5,0,14148,77.5,13.1,6.8,2.2,0.5,15073,7683,7390,104,925,1132,1073,981,752,2314,1460,1670,1520,1133,1005,856,252,36.3,3665,11739,11408,10721,2632,2113
825,18.7,45.8,5.3,0.2,28.2,1.7,12946,70.5,24.1,2.4,1.8,1.2,13803,6423,7380,87,857,1082,631,1073,1208,1699,1344,1877,1071,696,1315,577,373,37.7,2943,11136,10860,9862,2678,2265
234,11.5,41.5,14.1,0,23.1,9.8,2940,81.2,15.3,0.5,3,0,3232,1497,1735,86.3,292,303,107,132,109,345,445,496,191,219,333,139,121,39.8,755,2514,2477,2380,669,593
340,16.8,37.4,12.4,0,31.2,2.4,5710,79.1,14.8,2.7,2.8,0.7,5916,3029,2887,104.9,206,276,161,315,412,736,968,607,399,502,998,228,108,43.7,829,5169,5087,4941,1625,1334
0,-,-,-,-,-,-,0,-,-,-,-,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0
954,23.5,6,10.3,0,59.4,0.8,9007,59.9,34.7,4,0.3,1.2,9640,4400,5240,84,633,760,510,791,631,1517,1218,1322,567,497,912,229,53,34.8,2356,7584,7284,6812,1546,1194
3061,28.3,13,24.9,1.4,27.4,5,43259,91.4,4.4,2.4,0.6,1.1,45372,22096,23276,94.9,2113,2126,2341,2351,2579,5975,5314,5856,3937,3821,5033,2680,1246,44.8,7966,38132,37406,35888,11344,8959
214,40.2,47.2,0.5,0,12.1,0,7797,95.1,2,1.7,1.1,0.1,8161,4086,4075,100.3,364,341,442,229,436,1153,957,992,661,724,1062,449,351,47.5,1286,6957,6875,6745,2242,1862
0,-,-,-,-,-,-,735,98.2,1.8,0,0,0,754,348,406,85.7,19,48,83,32,20,94,144,91,84,26,103,0,10,42.6,169,594,585,572,139,113
99,61.6,3,5.1,3,17.2,10.1,2570,93.9,2.4,3.5,0.1,0,2658,1461,1197,122.1,88,96,169,108,64,247,286,491,203,298,460,128,20,48.6,439,2283,2219,2188,775,608
0,-,-,-,-,-,-,186,100,0,0,0,0,186,83,103,80.6,0,0,0,38,0,27,27,0,39,39,16,0,0,57,38,174,148,148,30,16
72,0,68.1,0,0,31.9,0,3077,98,1.7,0.3,0,0,3243,1626,1617,100.6,166,177,103,223,85,376,221,435,300,339,569,183,66,52,544,2768,2699,2574,965,818
229,55.9,21,0,0,23.1,0,6074,94.7,3.1,1.9,0.2,0,6356,3106,3250,95.6,282,340,447,290,150,511,630,973,587,577,855,413,301,52.4,1304,5190,5052,4971,1909,1569
1,100,0,0,0,0,0,142,100,0,0,0,0,142,66,76,86.8,0,0,0,0,15,8,0,0,6,7,68,38,0,69.4,0,142,142,142,106,106
474,36.3,9.9,4.6,0.4,34.6,14.1,8630,93.7,2.1,3.6,0.5,0.2,9139,4222,4917,85.9,509,448,467,679,552,750,902,1290,795,686,1178,520,363,46.7,1850,7617,7289,6941,2588,2061
48,56.3,0,0,16.7,16.7,10.4,2475,97.9,1.2,0.9,0,0,2610,1326,1284,103.3,135,93,102,189,83,372,165,410,318,187,347,153,56,49.4,428,2243,2182,2072,655,556
185,36.2,54.1,0,0,3.2,6.5,1510,92.5,0.1,5.9,1.6,0,1632,809,823,98.3,122,8,72,23,110,106,183,90,141,242,387,130,18,57.7,205,1427,1427,1311,702,535
99,22.2,71.7,0,4,2,0,2289,94.8,0.5,4.7,0,0,2332,1055,1277,82.6,43,215,211,45,60,116,311,206,128,344,487,139,27,53.9,509,1836,1823,1801,871,653
343,16,40.2,3.5,0,40.2,0,5492,92,3.6,2.7,0.5,1.2,5626,2667,2959,90.1,134,174,354,294,289,651,640,636,457,374,816,596,211,49.4,901,4892,4725,4596,1854,1623
638,58.6,2.5,3.8,0,21.5,13.6,4877,89.2,4.2,6.5,0,0,4926,2493,2433,102.5,49,167,53,456,312,359,458,476,357,394,877,580,388,56.8,457,4545,4469,4101,2139,1845
0,-,-,-,-,-,-,279,100,0,0,0,0,279,52,227,22.9,0,0,16,56,0,0,42,57,1,17,15,32,43,53.4,16,263,263,207,106,90
0,-,-,-,-,-,-,163,100,0,0,0,0,163,86,77,111.7,0,2,2,15,0,7,17,23,32,31,19,8,7,56.7,4,159,159,144,54,34
19,84.2,15.8,0,0,0,0,164,96.3,0,3.7,0,0,164,83,81,102.5,0,0,0,4,10,0,22,14,31,18,38,9,18,61.2,0,164,164,160,77,65
16,100,0,0,0,0,0,766,95.2,1.4,3.4,0,0,771,365,406,89.9,5,4,59,35,40,18,54,61,51,70,128,90,156,64.6,85,690,686,663,406,374
869,11.5,56.5,6.4,0,24.6,0.9,14746,92.2,3.4,3.1,0.7,0.6,15405,7786,7619,102.2,659,817,703,1196,1396,1375,1639,2244,1008,1253,1793,838,484,44.6,2703,13065,12702,11699,3878,3115
14,21.4,0,0,0,0,78.6,851,98.8,0,1.2,0,0,879,403,476,84.7,28,16,25,36,0,164,87,146,78,68,124,92,15,52.9,105,789,774,774,267,231
50,36,42,0,0,8,14,972,94.9,0.7,2.4,2.1,0,995,432,563,76.7,23,30,34,32,21,66,120,131,55,100,258,107,18,58.7,109,899,886,876,467,383
12,16.7,33.3,0,25,25,0,815,95.6,0.9,1.5,1.8,0.2,865,427,438,97.5,50,33,33,46,45,67,108,107,53,76,123,77,47,48.8,135,742,730,700,298,247
12,16.7,0,0,0,16.7,66.7,690,99.3,0.7,0,0,0,708,377,331,113.9,18,18,100,12,19,39,102,97,56,43,150,27,27,50,143,570,565,555,230,204
