WORLD REGION OF BIRTH,,,,,,,LANGUAGE SPOKEN HOME,,,,,,SEX AND AGE,,,,,,,,,,,,,,,,,,,,,,,
"Foreign-born population, excluding population born at sea",Europe,Asia,Africa,Oceania,Latin America,Northern America,LANGUAGE SPOKEN AT HOME - Population 5 years and over,English only,Spanish,Other Indo-European languages,Asian and Pacific Islander languages,Other languages,Total population2,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over
1299,35.9,26.7,8.2,0,26.3,3,14618,88.3,6.9,3.1,1.4,0.2,14975,6639,8336,79.6,357,669,978,787,934,2671,1966,2112,976,778,1706,699,342,41.2,2447,12814,12528,12121,3257,2747
530,29.4,16.2,3.2,0,50.4,0.8,9449,88.5,7,4,0.3,0.1,9835,4669,5166,90.4,386,590,486,558,338,745,1436,1246,703,1022,1704,417,204,49.2,1864,8337,7971,7785,2991,2325
423,13.7,76.4,2.8,0,5,2.1,2532,72.9,4.3,8.7,12.3,1.8,2532,15,2517,0.6,0,0,0,1183,1344,5,0,0,0,0,0,0,0,20.2,25,2532,2507,839,0,0
0,-,-,-,-,-,-,51,100,0,0,0,0,51,17,34,50,0,0,8,0,0,0,0,17,0,0,0,0,26,94,8,43,43,43,26,26
22,40.9,0,0,0,59.1,0,1573,97.5,0.8,1.5,0,0.3,1621,800,821,97.4,48,62,67,142,74,165,155,231,214,176,218,49,20,49.8,276,1422,1345,1295,376,287
437,35.7,31.8,6.2,0,20.6,5.7,8396,90,3.2,4.6,1.4,0.7,8870,4556,4314,105.6,474,369,419,371,603,652,1107,1049,1147,766,967,710,236,49.1,1515,7521,7355,7222,2315,1913
23,43.5,21.7,0,0,17.4,17.4,602,95.2,1,3,0.5,0.3,621,294,327,89.9,19,28,50,52,27,34,63,75,54,56,99,55,9,49.4,123,513,498,460,203,163
35,88.6,0,0,0,11.4,0,1231,93.9,2.4,3.7,0,0,1280,674,606,111.2,49,50,34,108,127,120,111,200,174,133,139,31,4,46.5,195,1128,1085,1029,255,174
50,34,8,12,8,28,10,1321,92.2,6.4,1.2,0,0.2,1374,612,762,80.3,53,49,68,32,78,146,155,141,185,120,283,38,26,52,194,1197,1180,1143,411,347
346,53.2,30.6,0,0,16.2,0,5843,90.5,1.8,4.9,2.8,0,6158,3356,2802,119.8,315,299,322,389,408,515,699,870,439,660,881,321,40,47,1076,5202,5082,4779,1780,1242
46,100,0,0,0,0,0,544,100,0,0,0,0,584,238,346,68.8,40,90,0,28,99,41,43,69,104,0,41,29,0,33.9,130,454,454,426,70,70
1542,23.4,53.5,9.2,0.6,7.9,5.4,17422,90.1,1.8,3.8,3.2,1.1,18051,7236,10815,66.9,629,650,694,2101,1943,1636,1890,1928,1210,1320,2145,1218,687,42.1,2565,15859,15486,13345,4618,4050
286,71,25.5,0,0,3.5,0,8900,93.4,1.7,3.5,1.5,0,9292,4640,4652,99.7,392,407,573,488,534,792,1233,1566,673,685,1086,658,205,47.1,1735,7797,7557,7307,2301,1949
0,-,-,-,-,-,-,514,92.4,7.6,0,0,0,521,209,312,67,7,38,24,38,0,8,0,176,140,37,53,0,0,53.6,107,452,414,414,90,53
44,52.3,47.7,0,0,0,0,2163,91.9,3.4,3.1,1.7,0,2276,1174,1102,106.5,113,83,123,204,158,371,243,286,202,232,169,55,37,37.7,476,1893,1800,1718,365,261
26,69.2,0,0,0,19.2,11.5,1641,98.7,0.2,0.9,0,0.1,1748,909,839,108.3,107,127,123,97,49,175,285,237,138,159,172,69,10,41.7,420,1371,1328,1291,337,251
379,42,10,0,0,44.9,3.2,10002,92.8,3.7,3,0,0.5,10441,5111,5330,95.9,439,607,723,778,636,1434,1099,1275,713,1025,866,643,203,40.8,2237,8615,8204,7818,2335,1712
67,47.8,52.2,0,0,0,0,2507,94.3,5.7,0,0,0,2701,1576,1125,140.1,194,375,131,94,208,356,486,321,238,146,51,101,0,34.8,794,1975,1907,1872,207,152
3,100,0,0,0,0,0,101,100,0,0,0,0,101,54,47,114.9,0,0,18,6,7,6,6,29,3,3,16,3,4,49.2,21,83,80,77,23,23
4152,46.7,39.2,3.5,0,8.5,2.1,39987,83.7,5.6,9.3,1.1,0.4,41715,20053,21662,92.6,1728,2425,2126,3925,3498,5727,4656,4711,2971,2690,4484,1687,1087,38.7,7977,34902,33738,30438,9022,7258
78,41,38.5,0,5.1,9,6.4,541,92.2,1.3,0.9,5.5,0,663,326,337,96.7,122,0,0,10,24,239,29,62,77,39,39,22,0,31.4,132,541,531,531,90,61
5123,30.8,48.7,5.6,0,12.7,2.2,27229,74.5,8.3,9.1,3.2,4.9,28814,14242,14572,97.7,1585,1611,1639,1395,1841,4918,3769,4414,1897,1587,2276,1235,647,38.6,5630,23710,23184,22292,5201,4158
240,20.4,44.2,0,0,35.4,0,1151,83.8,0,7,0,9.2,1248,509,739,68.9,97,59,47,28,118,198,336,55,66,129,114,0,1,36.5,220,1028,1028,1017,148,115
0,-,-,-,-,-,-,154,98.1,0,1.9,0,0,157,70,87,80.5,3,0,0,20,8,0,35,45,0,0,33,13,0,52.2,6,154,151,134,46,46
0,-,-,-,-,-,-,70,100,0,0,0,0,70,20,50,40,0,0,6,0,0,0,9,14,0,5,12,3,21,66.2,6,64,64,64,41,36
501,31.3,11.4,0,0,26.3,30.9,14292,93.8,3,2.6,0.5,0,14737,6896,7841,87.9,445,838,1095,1071,641,1517,1716,1764,1089,1260,2066,639,596,45.4,3230,12101,11507,11164,3982,3301
89,46.1,5.6,0,0,33.7,14.6,2345,94.2,0.5,5.3,0,0,2413,1206,1207,99.9,68,75,117,161,103,237,225,488,119,234,449,120,17,48.4,359,2120,2054,1987,712,586
