HEALTH INSURANCE,,,HOUSEHOLD BY TYPE,,,,,,,,,,,,,,,,,MARITAL STATUS,,,,,,,,,,,
Civilian noninstitutionalized population,Civilians with health insurance coverage (%),Civilians with no health insurance coverage (%),Total households2,Married-couple household,Married-couple household with children under 18 years,Cohabiting couple household,Cohabiting couple household with children under 18 years,"Male householder, no spouse/partner present","Male householder, no spouse/partner present with children under 18 years","Male householder, no spouse/partner present, living alone","Male householder, no spouse/partner present, living alone 65 years and over","Female householder, no spouse/partner present","Female householder, no spouse/partner present with children under 18 years","Female householder, no spouse/partner present, living alone","Female householder, no spouse/partner present, living alone 65 years and over",Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Average family size,Males 15 years and over,Males 15 years and over - Never married,"Males 15 years and over - Now married, except separated",Males 15 years and over - Separated,Males 15 years and over - Widowed,Males 15 years and over - Divorced,Females 15 years and over,Females 15 years and over - Never married,"Females 15 years and over - Now married, except separated",Females 15 years and over - Separated,Females 15 years and over - Widowed,Females 15 years and over - Divorced
47168,92.5,7.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
27,96.3,3.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
30702,92,8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
19989,91.9,8.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5372,92.7,7.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
15697,95.5,4.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3667,92.7,7.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
41942,95.3,4.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
26812,92.7,7.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
61467,93.8,6.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
17256,87.9,12.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
14078,91.5,8.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
32677,90.8,9.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
32040,92.2,7.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
54724,93.4,6.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
15626,96.6,3.4,6791,43.6,12.9,10.7,2.9,17,0.7,12.4,5.4,28.7,5.1,19.9,12.3,23,36.7,2.3,2.92,6720,35.6,47.7,0.7,3.5,12.4,6916,25,46.7,2,10,16.4
27223,97.7,2.3,9985,37.5,16.9,5.8,0.8,26.4,0.3,16.9,2.2,30.3,4.7,14.8,7.6,24,25.4,2.39,2.92,12053,56.8,33.5,0.3,1.8,7.6,12536,52.8,33.2,1.3,5.2,7.4
13711,96.3,3.7,15,100,0,0,0,0,0,0,0,0,0,0,0,0,33.3,2.13,2.13,6666,99.7,0.2,0,0,0,7045,99.5,0.5,0,0,0
4812,98.3,1.7,1761,61,16,8.9,3.6,13.6,0.9,8.2,2.7,16.5,4.1,6,3.8,26.9,28.2,2.69,2.91,1973,29.7,54.5,0,1.6,14.1,2288,30.7,51.7,0,6.3,11.3
15304,98.2,1.8,5917,58.4,21.4,8.5,0.8,10.5,0.5,6.7,2.5,22.6,2.8,13.7,8.8,28.2,33.2,2.59,3.05,6235,34.2,58.7,0.7,1.8,4.7,6424,22.1,59.2,1.1,7.4,10.2
1171,95.6,4.4,506,53,12.6,7.3,2.6,20.9,0,19.8,5.5,18.8,0,5.7,5.7,18.6,42.7,2.31,2.87,509,35.8,53.8,0,1,9.4,512,33.6,52.9,0,5.1,8.4
765,95.8,4.2,333,40.5,25.2,28.8,0,11.7,7.8,3.9,0,18.9,0,10.2,6.9,33,19.2,2.4,2.77,319,35.1,37.6,0,0,27.3,327,20.2,51.4,0,7,21.4
3703,96.2,3.8,1503,61.5,21,6.6,4.5,17.1,0.5,14.8,2.9,14.8,1.3,11.4,9.2,28.9,36.9,2.46,2.98,1524,26.4,59.8,0,2.6,11.2,1488,19.6,61.5,0,10,8.9
1332,92.5,7.5,498,56.4,20.1,8.2,1.4,17.7,0.6,14.7,7.4,17.7,4.2,5.8,3,28.3,37.1,2.65,3.07,531,29.9,55.4,2.3,2.6,9.8,537,25.9,55.9,0.9,7.4,9.9
503,94.8,5.2,227,52.4,18.1,2.6,2.6,15.9,0,12.8,5.7,29.1,0,22.5,11.5,20.7,44.1,2.22,2.78,226,33.6,52.2,0,1.3,12.8,235,19.6,52.3,0,13.6,14.5
22549,96.5,3.5,9375,33.3,12.1,12.1,5.5,19.4,0.1,14.6,5.7,35.1,7.8,18.5,9.9,27.6,30.3,2.36,3.02,8326,42.7,40.2,1.7,3.6,11.7,10375,42.7,34.9,2.2,9.6,10.6
30649,97.4,2.6,13400,38.9,11.3,6.5,2.8,22.6,2.3,16,8.6,32,6.8,16.2,8.9,26.3,36.9,2.29,2.85,13282,41.7,40.8,1,2.9,13.6,12978,31.5,41.2,1,11.5,14.9
2052,97.1,2.9,1082,21.4,6.2,13.4,1.7,23.2,0,18.7,6.7,42,4.6,34.4,26.5,12.5,43.1,1.7,2.61,1030,61.2,22.6,1.7,2.8,11.7,996,32.5,22.2,1.8,16.7,26.8
1071,99.3,0.7,454,43.2,8.4,3.1,2.6,24,4,17.2,6.4,29.7,5.3,22.7,14.5,20.9,43.2,2.36,3.25,498,41.8,42,1.8,2.8,11.6,428,22.4,41.4,4.7,5.8,25.7
17705,95.7,4.3,8451,42.7,13.1,7.8,2.1,20.7,0.8,13.4,4.6,28.8,4.5,17.5,9.6,22.8,35.6,2.09,2.62,7184,30.8,52.5,0.8,3.2,12.7,8219,31.7,46.8,2.2,6.8,12.5
15986,98.5,1.5,6017,56.1,23.1,5.9,2.4,13.1,1,10.5,4.2,24.9,4.2,15.6,13,32.9,38.2,2.66,3.25,6136,30.3,56.5,0.5,5.2,7.6,7102,23.5,50.6,0.7,13.5,11.7
511,100,0,228,56.1,20.6,5.3,0,24.1,0,24.1,7,14.5,0,11.8,9.2,24.1,34.6,2.24,3.02,276,25.7,44.6,9.1,5.1,15.6,188,19.1,68.1,0,9.6,3.2
12606,97.3,2.7,4994,59,20.2,6.3,2,14.7,0,13.5,2.4,20,2.3,11.9,5.9,27.9,31.2,2.52,3,5303,32.1,57.4,1.8,1.8,7,5653,28.5,53.4,1.7,9,7.3
1577,100,0,608,49.5,20.4,3.5,0,18.9,0.8,10.9,4.1,28.1,8.2,18.9,11.3,29.4,38.7,2.59,3.22,644,36.2,48.6,1.7,4.7,8.9,613,20.4,53.2,8,8.3,10.1
430,99.3,0.7,198,51,13.1,11.1,0,15.7,0,13.1,5.6,22.2,1.5,11.6,4,14.6,46,2.17,2.64,169,20.1,59.2,7.1,4.1,9.5,210,22.9,56.2,4.3,6.2,10.5
6090,95.4,4.6,2530,60.6,15.2,2.4,1,12.1,1.3,9.4,1.3,25,2.5,12.9,8.3,22.6,33.4,2.41,2.79,2562,29,64.8,0.4,2.4,3.5,2875,19.5,56.6,2.3,9.4,12.2
1987,95.3,4.7,830,56.4,17.7,12.7,3.7,16.6,1.4,10.1,5.5,14.3,1,8.1,5.7,28.3,37,2.4,2.71,878,27,58.4,4,3.1,7.5,831,28.3,55.6,0,6.1,10
5192,97.2,2.8,2254,47.5,16.5,6.5,0.3,15.3,1.4,9.7,6.9,30.7,2.7,17.9,11.4,22.8,40.8,2.3,2.82,2085,33.9,50.6,0,4.6,10.8,2475,28.4,47.7,1.3,12.7,9.9
4909,98.8,1.2,2016,68.3,14.2,9.9,0.4,7.8,0.5,6.4,3,14,0.5,11.5,10.5,17,45.7,2.44,2.73,2236,23,63.1,0,3.4,10.4,2240,18.8,60.8,0.6,11.8,8.1
645,99.8,0.2,257,71.6,9.7,1.9,0,15.2,0,12.5,5.1,11.3,11.3,0,0,21,45.5,2.41,2.63,269,20.8,63.9,0,0,15.2,294,19.4,65.3,1.4,3.7,10.2
2601,100,0,1111,51,16.7,8.8,2.8,12.8,0.9,8,1.9,27.4,0.9,19.9,11.3,23,42.8,2.33,2.81,1088,36.1,55,0.6,2.2,6.1,1192,29.4,46.5,0.4,11.7,12.1
1675,99.2,0.8,709,44.6,14.1,15.8,0.4,10.7,0.7,7.1,2.4,28.9,6.2,15.2,6.5,21.4,40.8,2.36,2.66,627,28.7,52.2,1.4,3.2,14.5,859,28.1,39.5,0.6,5.8,26.1
37603,96.9,3.1,15062,29,8.8,11.4,4.1,20.2,1,13.9,4.8,39.5,12.4,16.2,7.7,30.4,28.8,2.48,3.09,14746,54.3,34,1.3,2.8,7.6,16364,49.2,29.6,2.9,6.8,11.4
2589,99.1,0.9,1072,50.8,17.4,10.9,3.3,17.3,0,13.7,3.7,21,3.4,11.1,8.7,27.6,31.4,2.42,2.85,1095,31.1,50,0.6,3.9,14.3,1079,21.8,55.3,0.9,5.3,16.7
1752,100,0,712,24.6,5.5,5.5,3.9,21.5,1.5,10.7,1,48.5,0,27.7,16.7,12.4,47.2,2.19,2.86,799,52.2,27.3,0,4,16.5,1111,45.8,16.2,9,15,14
1794,97.5,2.5,708,53,14,8.6,2.4,11.2,1.8,7.1,2.7,27.3,4.2,16.7,13.3,25.8,50.4,2.51,2.83,741,31.8,53.7,0.4,0.8,13.2,797,24.1,49.8,3.3,6.4,16.4
20203,97.9,2.1,8567,51.7,11.6,7.2,1.8,16.4,1.5,10.5,4.5,24.7,5.5,12.9,7.8,21.8,38.7,2.36,2.76,9474,38,48.5,1.2,3.5,8.9,8963,26.7,50.3,2.6,8.7,11.6
8223,97.4,2.6,3485,52,13.6,10.6,3.8,17.5,1.5,13.2,6.2,20,1.8,12.3,6.5,23.2,39.4,2.36,2.77,3533,34.9,52.7,0,3.2,9.2,3731,27.3,50.7,0.6,6.8,14.6
14761,97.9,2.1,7060,38.9,16.3,10.5,1.4,18.3,1.1,14.1,3.8,32.3,4.9,21.3,9.4,25,27.6,2.05,2.68,5589,36.2,51.4,0.2,2.5,9.7,7382,37.1,40.4,1.4,6.8,14.2
9497,98.3,1.7,4162,47.9,17.9,8.1,2.4,15.3,0.9,13.3,5.8,28.7,2.5,19.1,8.3,24.3,39.5,2.28,2.88,3996,34.8,51.8,0.3,3.4,9.7,4377,28.9,46,0.6,8.4,16.1
2532,98.1,1.9,5,0,0,0,0,0,0,0,0,100,0,100,0,0,0,-,-,15,100,0,0,0,0,2517,100,0,0,0,0
51,100,0,34,23.5,23.5,0,0,0,0,0,0,76.5,0,76.5,76.5,23.5,76.5,1.5,3.13,9,0,100,0,0,0,34,0,23.5,0,76.5,0
1621,98,2,625,64.6,18.1,5.9,0.8,15,1.6,10.4,4.3,14.4,0.8,7.4,2.9,22.7,32.5,2.58,2.91,722,27.8,57.9,1.1,3.3,9.8,722,27.6,57.8,0,4,10.7
8742,98,2,3732,41.5,9.5,10.2,5.3,26.1,2,20.8,5.6,22.2,4.3,13.2,6.4,24,32.9,2.35,3,4003,27.7,45.4,1.8,3.9,21.3,3605,29.6,46.2,0.1,6.8,17.2
621,99.4,0.6,258,50.4,14.3,10.1,1.6,16.3,0,11.6,3.5,23.3,4.3,12.4,6.2,22.1,46.9,2.39,2.86,271,36.2,49.8,0,3.3,10.7,253,30.8,49.8,1.2,4.3,13.8
1273,95.4,4.6,518,59.7,16.8,5.6,3.9,17.2,0.4,9.7,4.4,17.6,0,14.7,4.4,22.6,23.9,2.46,2.85,600,36,52,0.7,0,11.3,547,32.7,52.8,0.5,7.7,6.2
1374,96.9,3.1,609,46.8,11.2,4.8,3.3,18.9,3.4,12.6,4.1,29.6,2.6,16.6,9.2,21.7,41.4,2.26,2.65,556,37.9,51.6,2.5,3.4,4.5,648,23.6,46.6,0,9.7,20.1
6158,98.7,1.3,2318,73.2,21.1,2.7,0,16.3,1.4,11.6,3.3,7.8,0,5.3,2.8,25.1,34.7,2.66,2.97,2804,28.2,63.2,1.1,0.2,7.2,2418,21.4,70.4,0,3.3,4.9
584,100,0,157,0,0,29.3,29.3,0,0,0,0,70.7,26.1,11.5,11.5,55.4,44.6,3.72,3.12,148,68.9,0,0,0,31.1,306,40.5,0,0,17,42.5
17927,98.2,1.8,7328,46.2,12.1,9,3.3,13.4,0.6,10.5,5.1,31.3,2.2,22.4,10.4,19.9,39.3,2.13,2.66,6327,27,55.3,1.5,3.3,12.9,9751,46.1,33.7,1,7.9,11.3
9265,98.2,1.8,3648,58.9,18.8,8.4,5.5,12.3,0,9.5,3.8,20.5,1.4,12.9,10.2,27.3,36.7,2.53,2.9,3998,33.2,55.3,0.3,3.3,7.9,3922,20,56.9,0.6,13.6,8.9
521,93.3,6.7,237,57.8,14.3,14.8,14.8,0,0,0,0,27.4,11,16.5,0,42.6,13.5,2.2,2.26,209,18.2,65.1,0,0,16.7,243,14,56,0,16,14
2276,97.8,2.2,895,50.5,12.6,11.7,8,19.8,0,11.5,2.5,18,4.6,10.1,5.6,25.3,26.5,2.54,2.95,946,38.7,45.2,0,2,14.1,1011,29.3,49.6,1.7,8.1,11.4
1748,96.1,3.9,708,56.1,25.4,10.2,3.8,18.4,0.4,15.1,3,15.4,0.6,10,4.8,32.3,26.7,2.47,2.92,721,31.2,55.9,1.2,1.4,10.3,670,21.8,56.4,1,6.6,14.2
10434,98.1,1.9,4689,43.4,11,6.2,2,22.2,2.3,17.4,3.5,28.3,9.4,14.7,5.9,29,27.3,2.23,2.8,4323,34.4,49.7,1.5,1.9,12.5,4349,29.7,45.3,1.4,10.9,12.8
2701,96,4,934,45.3,26.3,2.7,0,39.4,11.7,24.4,6.2,12.6,0,10,0,43.9,13.4,2.89,4.06,1187,36.4,46.3,0,3,14.2,814,33.4,60.3,0,0,6.3
101,96,4,44,36.4,4.5,29.5,22.7,18.2,0,18.2,6.8,15.9,0,15.9,9.1,27.3,34.1,2.3,2.65,54,50,29.6,0,5.6,14.8,29,20.7,55.2,0,13.8,10.3
41273,97.7,2.3,15608,49,16.6,7.7,2.7,15.6,1,11.4,2.8,27.7,4.2,16.6,9.3,27.4,33.1,2.47,3.05,17127,42.3,47.6,1.3,1.2,7.6,18309,33.2,43.8,1.2,9.6,12.2
663,98.9,1.1,345,23.8,10.4,6.4,0,24.9,0,22,5.2,44.9,24.1,20.9,10.1,34.5,17.7,1.92,2.64,235,31.1,46,0,15.3,7.7,306,45.8,35,0,3.6,15.7
28682,94.8,5.2,12734,41,18.8,6.6,2,24.4,0.3,19.3,4.9,28,2.8,20.2,7.8,25.3,26.4,2.25,3.12,11793,40.4,46.1,0.4,2.7,10.4,12186,34.2,44.3,0.9,9.1,11.5
1248,97.8,2.2,532,37.4,14.1,10.2,5.1,27.4,0,27.4,0,25,5.8,10.2,10.2,30.1,22,2.34,3,460,17,51.3,0,0,31.7,585,32.8,40.2,0,9.2,17.8
157,100,0,70,61.4,0,0,0,21.4,5.7,0,0,17.1,0,12.9,12.9,10,42.9,2.24,2.32,70,14.3,70,11.4,0,4.3,84,31,44,10.7,14.3,0
70,100,0,31,32.3,22.6,0,0,16.1,0,0,0,51.6,0,51.6,51.6,22.6,77.4,2.26,3.6,20,25,50,0,25,0,44,13.6,29.5,0,36.4,20.5
14460,98,2,5417,60.1,23.9,6.8,1.7,11.4,0.5,7.4,3.1,21.8,2.8,12.9,11.6,34.4,41,2.65,3.06,5591,25.5,59.1,0.4,3.7,11.3,6768,29.6,51.2,0.2,9.5,9.4
2405,97.8,2.2,1058,62.9,20.2,1.1,0.2,15.8,0,8.6,2.4,20.1,0,16.5,10.3,22.8,37.8,2.28,2.73,1054,26.6,62.8,2.9,1.1,6.5,1099,16.2,64.7,0,7.3,11.8
64,100,0,26,57.7,34.6,0,0,0,0,0,0,42.3,0,42.3,0,57.7,23.1,2.46,3.53,13,0,100,0,0,0,33,0,45.5,0,0,54.5
1042,97.2,2.8,510,55.7,6.5,9.4,1.8,12.5,0.6,12,2.5,22.4,0.8,15.3,5.3,11.2,46.9,2.04,2.43,447,16.3,64.2,0,5.8,13.6,501,23.4,58.1,0.8,9.4,8.4
2124,97.7,2.3,1434,8.6,1.1,8.4,0,25.4,0,22.2,2.9,57.6,6.6,40.9,14.7,10,22.5,1.47,2.18,697,62.1,23.1,3.3,3.6,7.9,1287,54.7,11.7,6.6,4.4,22.5
23089,97.8,2.2,9208,28.1,10.8,8,2.1,15.9,0.8,12.2,3.7,48.1,18.6,20.7,11.9,36.9,28.5,2.5,3.19,7968,48.8,38.9,2.9,2.1,7.3,10135,49.9,27.8,3.2,7.5,11.7
12384,95.2,4.8,5206,15.7,7.6,12.8,3.9,27.3,1,23.7,4.7,44.2,16.6,20,5.8,34.3,19.8,2.31,3.34,4620,63.2,23.1,4.4,0.6,8.7,4627,57.2,20.7,4.6,7.9,9.6
15952,98.3,1.7,6015,63,28.5,2.7,0.1,10,0.5,7.5,3.9,24.2,3.6,17.2,14.5,33.8,41.3,2.59,3.14,5964,24.1,66.4,0.4,2.6,6.4,6918,20.4,55.2,0.8,12.6,11
12356,98.1,1.9,4234,26.5,9.2,7.3,3.6,23.8,0.9,18.1,4.7,42.5,22.1,11.6,3.2,40.6,23.8,2.88,3.63,4423,58.6,30.3,2.1,2,7,4803,57,24.6,4.6,7.3,6.4
26214,95.6,4.4,10213,28.5,13,8.4,3.4,20.2,3.5,11.7,3.8,42.9,9.7,20.2,5.4,33.3,20.3,2.56,3.29,9333,48.8,36.7,2.2,1.7,10.6,11324,48.1,29.2,2.7,5.5,14.4
31172,95.9,4.1,9506,24.9,8.3,8.1,4.7,18.3,2,11.5,4.4,48.7,14.2,18.6,9.1,36.5,28.2,2.91,3.67,12361,65.3,25,2.1,0.8,6.7,12897,56.4,22.8,5.3,5.5,10
14989,96.8,3.2,5785,45.5,15.3,7.6,3.4,14.8,1.5,9.9,2,32.1,11.2,14.2,7.2,34.8,25.8,2.59,3.01,5657,37.7,49.6,0.7,2.1,10,6286,37.5,44.2,1,7.7,9.5
13666,96.7,3.3,5230,38.6,12.7,5.4,0.7,15,1,9.9,5.4,41.1,12.5,20.2,9.1,31.1,33.3,2.42,3.06,5115,41.8,44.4,0.9,1.2,11.7,6118,44.9,34.4,1.7,10,8.9
3232,98.7,1.3,1136,52.3,19.1,5.5,2.4,13.6,0.9,9.7,2.6,28.6,2.8,15.9,12.1,26.2,38.6,2.85,3.4,1325,36.8,52.3,1.5,0,9.4,1205,24.9,59.2,0,10.7,5.2
5841,98.6,1.4,2523,41.6,8,5,2,19.2,1.3,11.7,2.7,34.2,5.2,20.3,9.7,19.5,36.9,2.32,2.9,2658,44.2,42.7,3.5,2.4,7.2,2615,23,44.9,1,9.1,22
0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-
9640,94.8,5.2,3664,29,8.3,12.7,6.7,17,3.2,12,3.5,41.2,11.6,13.5,6.4,37.2,30.2,2.63,3.13,3417,56.8,31.4,0.7,2.5,8.6,4320,48.3,28.3,2.8,6.7,14
44685,97.5,2.5,19952,38.8,10.9,8.5,3.4,20.2,1.8,15,5.5,32.5,5.7,20.9,10.4,23.4,32.8,2.22,2.88,18665,39.4,45.8,1.5,3.2,10.1,20127,34.9,39,2.2,8.9,15
8161,97.5,2.5,3948,37.9,9.3,6.9,2.3,23.5,0.9,21.4,6.9,31.7,3.2,23.6,14.7,16.1,36.7,2.06,2.87,3501,31.8,47.5,2.3,3,15.5,3513,24.7,44.9,1.4,12.6,16.4
754,96.8,3.2,289,49.8,29.4,8.3,0,17.3,0,10,3.8,24.6,2.1,9,6.6,39.4,37.4,2.61,3.16,301,31.6,49.5,0,3.7,15.3,303,19.8,50.2,0,0,30
2658,92.2,7.8,1223,51.6,12.8,5.2,1.5,29.7,1.6,25.5,4.1,13.5,2.9,8.1,4.6,20.9,35.1,2.17,2.68,1247,24.1,50,11.5,2.1,12.4,1058,23.9,58.7,0.8,6.4,10.2
186,100,0,80,51.3,0,15,15,17.5,0,17.5,0,16.3,16.3,0,0,31.3,20,2.33,2.38,83,49.4,50.6,0,0,0,103,40.8,47.6,0,0,11.7
3226,99.4,0.6,1509,52,14.4,5.4,0,19.8,0,13.9,7.6,22.8,3.8,17.3,12.8,18.9,40.6,2.15,2.76,1409,30.3,54.9,0,4.8,10.1,1388,18,55.3,1,12.5,13.2
6265,99.2,0.8,2907,48.7,18.2,1.8,0,17.3,2.8,12.8,2.5,32.2,1.3,25,12,23.2,37.4,2.16,2.86,2544,25.5,58.8,4.4,2.7,8.6,2743,12.6,53.4,0.8,19.6,13.5
142,100,0,88,27.3,0,0,0,37.5,0,37.5,28.4,35.2,0,35.2,35.2,0,90.9,1.61,3.25,66,12.1,37.9,0,0,50,76,35.5,30.3,0,15.8,18.4
8809,97.5,2.5,3793,47.1,15.6,4,0.7,14.6,2,11.7,1.2,34.4,6.1,25,17.3,26.6,38.2,2.17,2.87,3599,36.6,52.6,1.8,1.4,7.6,4116,28.6,46.6,1.2,8.6,15
2610,98.7,1.3,1104,54,14.6,10.7,1.8,15.6,0,12.9,5.3,19.7,3.3,11.7,5.3,22.4,33.2,2.36,2.85,1220,30.8,52,1.4,3.7,12.1,1060,16.4,58.2,2.5,7,15.8
1585,97.5,2.5,704,64.8,11.1,7.7,2,8,0,3.3,0.6,19.6,0,13.8,7.7,16.9,51.3,2.25,2.49,676,22.6,67.6,0,0,9.8,754,27.5,60.7,0,6.9,4.9
2332,95,5,1019,45.2,14.2,17.1,8.4,10.4,0,8.5,5.4,27.3,6.7,20,13.3,30.1,47,2.28,2.81,855,32,58.6,2,2.8,4.6,1008,15.6,47.2,4.4,9.9,22.9
5480,98.1,1.9,2292,46.1,12.1,10,1.8,10.3,0,7.1,2.2,33.6,7,21.3,18.2,23,49.3,2.37,2.95,2232,36.6,53.8,0,0.1,9.5,2732,25.8,45.7,0.9,12,15.6
4637,96.9,3.1,2158,39.2,3.5,7.8,3.2,15.2,0.8,12.8,9.4,37.8,1.8,21.5,15.1,11.3,55.2,2.11,2.76,2334,43.7,38.6,3.4,3.2,11.1,2323,25.2,37.2,4,18,15.7
279,100,0,93,33.3,0,0,0,0,0,0,0,66.7,0,0,0,20.4,79.6,2.95,2.95,36,13.9,86.1,0,0,0,227,43.2,13.7,0,18.9,24.2
163,100,0,80,41.3,1.3,7.5,0,22.5,0,10,0,28.8,0,21.3,17.5,1.3,41.3,2.04,2.31,82,36.6,41.5,0,9.8,12.2,77,11.7,49.4,0,23.4,15.6
164,98.8,1.2,68,77.9,0,0,0,0,0,0,0,22.1,0,16.2,0,0,47.1,2.41,2.68,83,41,59,0,0,0,81,12.3,69.1,0,0,18.5
771,100,0,355,66.5,14.1,2.5,0,10.4,0,10.4,0.6,20.6,0,16.3,11,15.2,65.6,2.07,2.49,337,20.8,72.4,0,0.6,6.2,366,16.1,58.2,0,13.4,12.3
15317,97.6,2.4,6527,36.5,10.8,12.4,4.2,22.1,0.3,17.6,6.7,29,5.7,17.7,8,23.9,35.1,2.21,2.84,6552,44.2,38.2,1.5,4.5,11.7,6674,35,38.1,2.5,7.4,17
879,97.7,2.3,434,47.9,9,15.2,0,12.4,0,12.2,5.5,24.4,3.5,18.2,7.6,16.8,36.6,2.03,2.54,364,30.2,55.8,4.1,3.8,6,446,28.5,52.9,0,8.7,9.9
995,100,0,440,65.5,14.5,1.8,0,11.4,0,8.9,2.7,21.4,0.9,18.9,13,17.5,58,2.26,2.71,389,19,71.2,0,1.5,8.2,519,10.4,72.3,2.7,8.1,6.6
816,95.3,4.7,309,44,10.4,10.7,4.2,17.2,0,9.7,4.5,28.2,0.6,15.9,12,21,47.2,2.64,3.24,382,45.3,41.9,0,0,12.8,367,27,44.4,0,15.3,13.4
701,99.4,0.6,330,48.5,9.7,9.4,3,23.9,0.6,20.3,15.5,18.2,9.7,7.3,5.5,25.5,44.8,2.15,2.53,296,21.3,53,0,8.4,17.2,276,17,57.2,0.7,12,13
