HOUSING TENURE,,,,,VEHICLES AVAILABLE,,,,,HOUSE HEATING FUELS,,,,,,,,,
Occupied housing units2,Owner-occupied,Renter-occupied,Average household size of owner-occupied unit,Average household size of renter-occupied unit,Occupied housing units3,No vehicles available (%),1 vehicle available (%),2 vehicles available (%),3 or more vehicles available (%),Occupied housing units4,Utility gas (%),"Bottled, tank, or LP gas (%)",Electricity (%),"Fuel oil, kerosene, etc. (%)",Coal or coke (%),Wood (%),Solar energy (%),Other fuel (%),No fuel used (%)
9057,5853,3204,2.91,2.44,9057,13.8,43,29.5,13.6,9057,0,0.8,3.8,0,0,0,0,0,95.4
2543,1975,568,2.82,2.75,2543,14.9,37,32.4,15.7,2543,0.7,0,5.1,0,0,0,0,0,94.1
8683,6814,1869,2.8,2.84,8683,13.1,39.9,32.6,14.4,8683,0,1,5.6,0,0,0,0.5,0,93
3845,2798,1047,2.65,3.04,3845,16.9,34.2,29.2,19.7,3845,0,0.4,5.7,0,0,0,0,0,93.9
6147,4685,1462,2.51,3,6147,12.9,55.5,23.1,8.5,6147,0,1.6,7.3,0,0,0,3.2,0,87.9
801,670,131,2.54,2.24,801,13.7,61.7,23,1.6,801,0,2.5,6.1,0,0,0,0,0,91.4
11125,7395,3730,2.46,2.47,11125,17.9,50,23.7,8.4,11125,0.1,1,19.3,0,0,0,1.6,0,78
6398,3117,3281,2.26,2.2,6398,27.2,50,17.6,5.2,6398,0.2,0.7,17,0,0,0.2,0.3,0.1,81.6
8105,5862,2243,2.84,2.99,8105,10.9,50.2,27.9,11.1,8105,0,0.2,3.9,0,0,0,0,0,95.9
8456,5508,2948,3.7,3.09,8456,17.4,36,30.8,15.8,8456,0,1.3,6.9,0,0,0,0.3,0,91.4
6495,4476,2019,3.22,3.03,6495,17.1,35,33.5,14.4,6495,0,0.7,5,0,0,0,0.3,0,93.9
5882,4213,1669,2.88,2.48,5882,17.6,37.6,30,14.8,5882,0,0.3,4.7,0,0,0,0.2,0,94.8
29994,19457,10537,2.63,2.57,29994,15.5,41.1,30.9,12.4,29994,0,0.8,11.8,0,0,0,0.6,0,86.8
19267,13624,5643,2.78,2.59,19267,10.2,36.4,37.3,16.2,19267,0,0.6,15.5,0,0,0,0.3,0,83.5
13021,10394,2627,2.87,2.85,13021,11.4,42.1,33.6,12.9,13021,0.1,0.4,14.9,0,0,0,1.1,0,83.5
16529,12249,4280,2.92,2.89,16529,9.8,42.6,30.2,17.4,16529,0,0.6,8.4,0,0,0,0.2,0,90.8
12806,8279,4527,2.57,2.53,12806,22.3,44.4,22.7,10.6,12806,0.1,0.7,16.1,0,0,0,0.3,0.1,82.6
3933,3011,922,2.87,2.67,3933,19.2,38.2,32.5,10.1,3933,0,1.1,5.2,0,0,0,0,0,93.7
4129,3020,1109,2.8,2.83,4129,14.6,38.6,30.6,16.2,4129,0.6,0.6,5.9,0,0,0,0.9,0,92
17400,10856,6544,2.69,2.56,17400,17.1,37.2,30.9,14.9,17400,0,0.8,5.8,0,0,0,0.5,0.1,92.8
11564,8039,3525,2.6,2.68,11564,15,40,31.5,13.4,11564,0.1,1,8.9,0,0,0,0.7,0,89.3
11792,7559,4233,3,2.9,11792,13.2,37.3,32.7,16.9,11792,0.1,0.9,4.1,0,0,0,0.3,0.1,94.5
643,330,313,2.69,3.61,643,12.3,51.5,26.9,9.3,643,0,0,9.5,0,0,0,2.8,0,87.7
1394,1146,248,2.73,3.01,1394,9.7,47.7,27.2,15.4,1394,0.7,0.6,15.9,0,0,0,0.8,0,82
15803,11608,4195,3.02,3,15803,12.5,39.9,33,14.6,15803,0,0.6,7.1,0,0.1,0,0.4,0,91.8
7538,5794,1744,2.6,2.68,7538,14.8,42.6,29.6,13.1,7538,0,0.6,3.9,0,0,0,0.5,0,95
13248,9749,3499,2.9,2.47,13248,17,38.3,26.4,18.2,13248,0.2,0.3,4,0,0,0,0.2,0,95.4
7203,5660,1543,2.86,2.7,7203,12.2,41,32.3,14.5,7203,0.1,0.6,6,0,0,0,0.5,0,92.8
2374,1670,704,3.33,3.91,2374,15.2,46.3,30.9,7.7,2374,0,1.1,4.8,0,0,0,0,0,94.1
7873,5798,2075,2.88,2.7,7873,12.2,37.8,28,22,7873,0.1,1,6.7,0,0,0,0,0.1,92.1
12011,8356,3655,2.63,2.56,12011,15.2,39.8,27.7,17.4,12011,0.1,0.5,5.6,0,0,0,0.1,0,93.7
12975,9877,3098,2.75,2.55,12975,13.9,38.2,31.7,16.3,12975,0,0.7,6.1,0,0,0,0.1,0,93.1
11857,9203,2654,2.89,3.1,11857,9.5,37.1,28.3,25.1,11857,0,0.7,3.6,0,0,0,0.3,0,95.4
6580,4093,2487,2.66,2.91,6580,25,46.6,20.7,7.7,6580,0,1,3.7,0,0,0,0,0,95.3
6803,4743,2060,2.58,2.73,6803,12.6,48.5,27.9,10.9,6803,0,0.7,6.2,0,0,0,0,0.2,92.9
489,312,177,2.79,2.38,489,17.2,44.2,27.8,10.8,489,0,0,0,0,0,0,0,0,100
13352,9654,3698,2.95,2.6,13352,9.5,42.8,30.2,17.4,13352,0,0.6,1.5,0,0,0,0,0.3,97.5
14448,10954,3494,2.8,2.87,14448,10.2,32.3,36.4,21.1,14448,0,0.4,12.2,0,0,0,0.8,0,86.5
4443,3923,520,2.87,3.2,4443,11.2,38,33.9,16.9,4443,0,0.5,6,0,0,0,0.8,0,92.8
5130,2464,2666,4.2,3.11,5130,19.3,38.4,28.1,14.3,5130,0,0.8,5.5,0,0,0,0.2,0,93.6
10531,7692,2839,3.23,3.27,10531,15,34.9,32.4,17.7,10531,0,1.1,6.7,0,0,0,0.8,0,91.5
13947,9654,4293,2.46,2.47,13947,15.6,49.4,27.5,7.6,13947,0.2,1,11.3,0,0,0,1.1,0.1,86.4
81,81,0,1.86,-,81,77.8,0,22.2,0,81,0,0,0,0,0,0,0,0,100
16356,11814,4542,2.88,2.86,16356,13.5,42.2,28.8,15.4,16356,0,0.8,7.2,0,0,0,0.2,0,91.8
8731,5677,3054,3.31,3.08,8731,10.2,37.5,33.7,18.5,8731,0,0.3,8.1,0,0.2,0,0.1,0,91.4
14486,10817,3669,3.09,2.72,14486,14,39.3,31.3,15.5,14486,0,0.5,4.2,0,0,0,0.3,0,94.9
3133,1351,1782,2.23,1.98,3133,39.2,41,16.8,3.1,3133,0.4,0.9,25.4,0,0,0,0,0,73.3
91,91,0,1.88,-,91,0,39.6,60.4,0,91,0,0,6.6,0,0,0,0,0,93.4
8334,5150,3184,2.15,1.72,8334,17.6,51.6,25.7,5.1,8334,0.3,0.7,28.6,0.1,0,0,0,0,70.3
2239,969,1270,2.07,2.3,2239,27.1,50.1,19.5,3.3,2239,0.4,0.7,19.1,0,0,0,0,0,79.8
3656,1811,1845,2.12,1.82,3656,24.9,48.1,22.9,4,3656,0,1.1,28.3,0,0,0,0.5,0,70
2691,1526,1165,2.22,2.08,2691,15.5,61.2,18.3,5,2691,0,1.6,24.7,0,0,0,0,0,73.7
3040,532,2508,2.12,2.53,3040,55.8,32.9,9.1,2.2,3040,0,0,7.2,0,0,0,0,0,92.8
10602,4458,6144,2.36,2.45,10602,37.5,48.2,9.9,4.4,10602,0.5,1.9,7.5,0,0,0,0.1,0,90
8100,3996,4104,2.36,2.14,8100,34.5,45.3,14.9,5.4,8100,0.1,1.2,19.7,0,0,0,0.1,0,79
7633,3601,4032,2.11,1.93,7633,24.7,47.5,23.6,4.1,7633,0.6,0.3,22,0.2,0,0,0.9,0,75.9
6911,3796,3115,2.57,2.4,6911,17.1,41.5,31.8,9.6,6911,0,1.3,18.5,0.3,0,0,1,0,78.9
13552,6643,6909,2.39,2.27,13552,21.6,48.2,22.4,7.8,13552,0.3,0.9,14.2,0,0,0,0.1,0,84.5
10278,4594,5684,2.57,2.4,10278,31.8,45.5,18.5,4.3,10278,0,0.7,14.7,0,0,0,0.2,0,84.4
19048,10031,9017,2.52,2.41,19048,22,45,25.1,7.9,19048,0,1.3,18.6,0,0,0,0.5,0.1,79.5
2964,727,2237,2.18,1.67,2964,44.7,42.6,11.9,0.7,2964,0,0.7,8.7,0,0,0,0,0,90.6
35788,26242,9546,2.7,2.38,35788,12.8,38.1,33,16,35788,0.1,0.4,17.6,0,0,0,0.4,0,81.5
5936,3241,2695,2.45,2.08,5936,12.2,47.4,26.3,14.2,5936,0,0.6,23.1,0,0,0,0.1,0.2,76
27,0,27,-,4.59,27,0,63,37,0,27,0,0,0,0,0,0,0,0,100
25663,19452,6211,2.75,2.57,25663,7,40.4,35.9,16.7,25663,0,0.8,10.6,0,0.1,0,0.4,0,88
0,0,0,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-
149,64,85,2.55,1.94,149,30.9,32.2,18.8,18.1,149,0,3.4,18.1,0,0,0,0,0,78.5
2842,1861,981,2.86,2.42,2842,19.4,45.2,23.6,11.8,2842,0,0.9,4.3,0,0,0.4,0.6,0,93.9
21990,17748,4242,3.09,2.91,21990,7,34.8,38.6,19.6,21990,0.1,1.1,10.5,0,0,0,0.7,0.1,87.5
23846,16725,7121,2.69,2.63,23846,11.6,41.9,31.9,14.5,23846,0.1,1,11.8,0,0,0,0.5,0.2,86.5
14799,10691,4108,2.7,2.93,14799,13.9,40.8,31.3,14.1,14799,0.1,1.3,15.1,0,0,0.1,0.7,0,82.7
17329,11228,6101,2.78,2.62,17329,13.2,39.1,31.8,15.9,17329,0.5,0.9,18.2,0.1,0,0,1,0,79.4
0,0,0,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-
11292,7563,3729,2.81,2.52,11292,12.9,36.7,34.1,16.4,11292,0,0.9,18.4,0,0,0,0.3,0.1,80.3
7567,4235,3332,2.64,2.66,7567,28.3,41.2,23.2,7.4,7567,0.1,1.4,9.7,0,0,0,0.3,0,88.5
1888,1139,749,2.64,3.06,1888,23.4,49,25,2.6,1888,0,0.7,8.8,0.7,0,0,0,0,89.8
5976,4361,1615,2.67,2.45,5976,12.2,35.9,33.6,18.3,5976,0,0.3,26.8,0,0,0,1.3,0,71.6
1775,1304,471,2.26,1.56,1775,18.4,44.3,24.3,13,1775,0,0,29.8,0,0,0,0.6,0,69.6
14577,11021,3556,2.9,2.82,14577,8.4,37.6,37,16.9,14577,0.1,0.8,21.9,0,0,0,1.2,0,76
9104,6132,2972,3.04,2.72,9104,11.7,39.2,34.1,14.9,9104,0,0.5,5.7,0,0,0,0.5,0,93.2
22179,15742,6437,2.88,2.44,22179,9.8,37.5,34.5,18.2,22179,0,0.5,14.4,0,0,0,0.6,0.1,84.4
