HOUSE VALUE,,,,,,,,,MORTGAGE STATUS,,,DETAILED CRIME,,,,,,,,,
Owner-occupied units,"Less than $50,000 (%)","$50,000 to $99,999 (%)","$100,000 to $149,999 (%)2","$150,000 to $199,999 (%)3","$200,000 to $299,999 (%)","$300,000 to $499,999 (%)","$500,000 to $999,999 (%)","$1,000,000 or more (%)",Owner-occupied units2,Housing units with a mortgage (%),Housing units without a mortgage (%),Violent_Crime_Index,Assault_Index,Murder_Index,Rape_Index,Robbery_Index,Property_Crime_Index,Burglary_Index,Larceny_Index,Motor_Vehicle_Theft_Index,Property_Damage_Index
2547,18.2,41.5,21.2,12.6,4.6,1.1,0,0.7,2547,28,72,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1563,8.6,20.6,41,15.5,14.3,0,0,0,1563,48.5,51.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7873,4,27.6,38,14.4,11.4,2.5,2.3,0,7873,39.9,60.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
15510,6.9,36.6,32.3,15.3,7.5,0.9,0.5,0.1,15510,33.4,66.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
28,0,50,0,50,0,0,0,0,28,0,100,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8745,13.1,52.2,24.1,7.2,1.9,0.8,0.5,0.2,8745,23.2,76.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5853,9.5,29.2,34.9,19.6,5.7,0.6,0,0.5,5853,26.5,73.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1975,23.5,48.9,16.6,6.1,1.9,2.1,1,0,1975,41.2,58.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6814,7,31.3,35.5,17.7,7.2,0,0.5,0.8,6814,30.3,69.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2798,17,46.5,19.8,10.6,3.5,2.7,0,0,2798,25.6,74.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4685,13.7,60.6,22.4,1.2,1.1,0,0,0.9,4685,29.5,70.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
670,36,36.7,17.6,1.8,7.2,0.7,0,0,670,7,93,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7395,7.6,28.9,35.4,14.7,10.2,1.8,1.2,0.2,7395,34.3,65.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3117,8.4,37.6,34.3,11.2,5.6,1.8,1.1,0,3117,36.6,63.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5862,7.2,53.7,27.1,6.7,3.5,1.3,0,0.4,5862,33,67,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5508,19,38.6,24.8,9.6,5.1,2.7,0.2,0,5508,33.1,66.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4476,19.9,38.6,23.3,13.7,3,0.5,1,0,4476,17.9,82.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4213,8.8,56.3,20.6,11.1,2.6,0.5,0,0,4213,31.8,68.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
19457,5.1,27.9,34.6,16.6,7.8,5.3,2.1,0.6,19457,45.3,54.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
13624,3,18.3,41.6,14.6,15,6.3,0.8,0.5,13624,52.4,47.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10394,11.2,39.4,34.5,10.8,2.2,0.7,1.2,0,10394,31.3,68.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
12249,8,38,28.5,11.4,11.2,2.7,0.1,0.1,12249,42.6,57.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
