HOUSE VALUE,,,,,,,,,MORTGAGE STATUS,,,DETAILED CRIME,,,,,,,,,
Owner-occupied units,"Less than $50,000 (%)","$50,000 to $99,999 (%)","$100,000 to $149,999 (%)2","$150,000 to $199,999 (%)3","$200,000 to $299,999 (%)","$300,000 to $499,999 (%)","$500,000 to $999,999 (%)","$1,000,000 or more (%)",Owner-occupied units2,Housing units with a mortgage (%),Housing units without a mortgage (%),Violent_Crime_Index,Assault_Index,Murder_Index,Rape_Index,Robbery_Index,Property_Crime_Index,Burglary_Index,Larceny_Index,Motor_Vehicle_Theft_Index,Property_Damage_Index
161,0,0,21.7,18.6,37.9,21.7,0,0,161,61.5,38.5,90,143,32,115,69,68,70,85,38,77
571,4.7,2.6,18.7,25.7,42.7,5.4,0,0,571,61.8,38.2,90,143,32,115,69,68,70,85,38,77
634,7.1,2.8,12,14.7,39,20.8,3.2,0.5,634,71.1,28.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3203,0.3,4.2,19.2,21.4,35.2,16,3.3,0.5,3203,64.8,35.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
594,0,6.4,5.2,4.2,48.8,35.4,0,0,594,84.7,15.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
35,0,8.6,22.9,20,8.6,28.6,11.4,0,35,45.7,54.3,10,18,6,8,8,27,49,20,14,25
10339,1.9,3.8,3.8,14.1,44,28,4.1,0.3,10339,61.7,38.3,56,64,32,101,28,46,51,55,24,52
188,12.8,17.6,0,10.6,5.3,44.1,9.6,0,188,36.7,63.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7187,3.2,4.6,3.8,18.8,39.3,25,3.7,1.5,7187,65,35,128,168,42,198,103,144,123,179,114,162
274,0,0,8.4,9.9,54,17.9,0,9.9,274,91.6,8.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
62,0,0,0,0,19.4,77.4,3.2,0,62,74.2,25.8,22,35,5,40,7,40,48,35,39,38
31,0,0,22.6,0,0,61.3,16.1,0,31,22.6,77.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
4865,0.8,0.3,0.8,8.3,34.8,43.6,10.4,0.9,4865,66.6,33.4,33,38,11,64,19,25,26,28,18,27
897,0.8,1.4,6.6,10,31.4,36.6,11.9,1.2,897,61.5,38.5,22,31,4,48,5,36,66,27,16,33
15,0,0,0,100,0,0,0,0,15,100,0,80,108,13,195,6,48,55,59,23,55
474,0.6,1.5,4.6,17.7,34.8,22.8,13.9,4,474,57,43,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
134,0,17.9,33.6,21.6,1.5,25.4,0,0,134,47,53,216,242,188,133,303,151,195,116,157,135
4333,4.1,3.7,30.6,43.4,12,4.6,1.4,0.2,4333,74.5,25.5,216,242,188,133,303,151,195,116,157,135
458,8.1,14.4,13.1,33.6,19,5.5,0,6.3,458,47.2,52.8,216,242,188,133,303,151,195,116,157,135
5411,0.9,0.4,0.3,1.8,28.1,46.1,21.8,0.5,5411,67,33,23,21,8,40,23,36,41,42,22,40
1289,7.7,3.7,25.1,32,22.7,6.1,2.6,0,1289,68,32,216,242,188,133,303,151,195,116,157,135
4237,3.1,3.1,20.7,37.7,24.9,9.2,0.9,0.4,4237,74.9,25.1,216,242,188,133,303,151,195,116,157,135
3970,3.6,12.7,32.3,33,12.1,4.2,1.1,1,3970,69.1,30.9,216,242,188,133,303,151,195,116,157,135
4610,2.7,2.5,13,43.7,31.5,5.8,0.5,0.2,4610,77,23,216,242,188,133,303,151,195,116,157,135
3705,4.4,9.2,19.1,32.5,31.5,2.9,0.4,0,3705,65.5,34.5,216,242,188,133,303,151,195,116,157,135
1055,1.2,0,4.9,41.3,39.2,12.3,0,0.9,1055,72.6,27.4,216,242,188,133,303,151,195,116,157,135
1961,3.3,1.5,13.3,41.8,28.1,9.7,2.2,0,1961,64.8,35.2,216,242,188,133,303,151,195,116,157,135
0,-,-,-,-,-,-,-,-,0,-,-,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1771,2.9,9.6,29,33.3,18.2,5.5,1.5,0,1771,62.9,37.1,216,242,188,133,303,151,195,116,157,135
12672,3.2,4.3,20.8,28.6,25.1,11.5,5.7,0.8,12672,64,36,149,188,101,226,80,109,191,92,45,107
2273,4,11.2,24.8,28.6,18.1,7.7,4.4,1.1,2273,54.1,45.9,100,153,35,164,48,50,60,55,29,54
267,3.4,0,3.4,24.7,43.8,24.7,0,0,267,64.4,35.6,88,145,20,140,45,78,80,97,44,89
1132,1.8,4.6,9.1,9.9,30.7,30.5,12.1,1.3,1132,59.3,40.7,39,79,7,61,8,50,108,34,10,46
67,0,0,17.9,0,37.3,44.8,0,0,67,76.1,23.9,44,60,10,90,17,38,47,47,14,44
1329,8.6,9.9,6.8,19.7,39.1,11.7,4.2,0,1329,59.1,40.9,38,16,8,122,5,26,26,37,10,32
2153,1.5,1.4,13.8,15.4,33,29.1,5.7,0,2153,62.6,37.4,42,76,8,71,11,36,56,34,17,36
60,0,0,0,0,20,10,50,20,60,38.3,61.7,53,58,6,138,9,59,95,61,18,63
2842,0.6,1.1,3.7,3.5,16.4,45.1,23.6,5.9,2842,62.6,37.4,52,91,17,40,61,62,61,81,32,73
893,5.3,12.2,17.2,20,29.5,12.4,3,0.3,893,59.5,40.5,14,29,5,17,4,28,32,39,5,35
543,0,0.7,0.7,1.5,47.5,21.9,15.1,12.5,543,53,47,26,40,5,54,4,44,90,36,8,44
948,4.5,6.1,3.1,23.9,30.7,29.5,1.9,0.2,948,59.5,40.5,44,60,10,90,17,38,47,47,14,44
1765,0.5,0.8,5,8.4,39.4,35.7,7.9,2.2,1765,63.8,36.2,96,118,8,219,40,80,70,119,28,101
1337,0,2.4,6.7,9.8,14.8,47.9,9.8,8.6,1337,58.9,41.1,78,94,13,135,68,60,49,82,39,72
93,0,0,0,66.7,17.2,0,16.1,0,93,100,0,78,94,13,135,68,60,49,82,39,72
80,0,0,0,13.8,33.8,45,7.5,0,80,58.8,41.3,17,40,6,9,12,30,55,22,17,28
55,0,0,0,0,7.3,30.9,43.6,18.2,55,60,40,43,60,12,73,27,64,85,74,24,72
339,0,3.8,0,1.2,3.8,57.5,18.9,14.7,339,37.8,62.2,35,75,5,48,13,41,49,47,23,45
4061,6.5,14,25.5,22,17.5,10.1,2.9,1.4,4061,60.7,39.3,151,315,40,192,57,119,176,124,50,127
366,1.1,3,1.6,16.4,32.5,38.3,7.1,0,366,58.2,41.8,112,151,18,251,27,99,121,122,38,114
430,0,0.7,0.9,4.2,20.9,28.4,37.2,7.7,430,45.6,54.4,46,67,5,96,17,39,59,45,9,44
304,0.7,4.3,10.2,4.6,37.5,23,14.8,4.9,304,57.6,42.4,36,50,16,42,34,75,92,82,46,81
315,1.9,8.9,17.5,24.4,34.9,9.8,2.5,0,315,59,41,16,20,6,27,9,15,25,12,8,14
